operation,block_id,excluded,exclusion_reason,c0_usec_per_op,c1_usec_per_op,c2_usec_per_op,c3_usec_per_op,delta_hook_usec,delta_map_usec,delta_enforcement_usec,delta_full_vs_map_usec
network,15,False,,12.732199999999999,25.545,29.875799999999995,26.1098,12.812800000000003,4.330799999999993,13.377600000000001,-3.7659999999999947
network,16,False,,12.032799999999998,29.0226,28.175,31.457,16.989800000000002,-0.8475999999999999,19.424200000000003,3.282
network,17,False,,12.611800000000002,24.4272,30.4194,23.0128,11.815399999999997,5.9922,10.400999999999996,-7.406600000000001
network,18,False,,12.607800000000003,27.236,24.2584,24.7564,14.628199999999998,-2.977599999999999,12.148599999999997,0.49799999999999756
network,19,False,,12.976399999999998,28.4818,24.3566,25.8984,15.505400000000002,-4.1251999999999995,12.922,1.5417999999999985
network,20,False,,13.1382,25.939799999999998,23.7056,23.893200000000004,12.801599999999999,-2.2341999999999977,10.755000000000004,0.18760000000000332
network,21,False,,12.647,27.8926,25.342399999999998,23.354000000000003,15.245600000000001,-2.550200000000004,10.707000000000003,-1.988399999999995
network,22,False,,12.173,24.787599999999998,24.917599999999997,24.0514,12.614599999999998,0.129999999999999,11.878400000000001,-0.8661999999999956
network,23,False,,11.639800000000001,30.1232,22.022999999999996,29.514799999999994,18.4834,-8.100200000000005,17.874999999999993,7.491799999999998
network,24,False,,12.8548,26.9632,24.559,23.0542,14.108400000000001,-2.4041999999999994,10.199400000000002,-1.5047999999999995
network,25,False,,12.620800000000001,25.0544,29.1712,24.635,12.4336,4.116799999999998,12.0142,-4.536199999999997
network,26,False,,16.9304,30.5732,25.1716,26.456599999999995,13.642800000000001,-5.401599999999998,9.526199999999996,1.284999999999993
network,27,False,,14.2496,23.5618,28.471599999999995,33.978,9.312200000000002,4.9097999999999935,19.7284,5.506400000000006
network,28,False,,12.5584,21.9314,24.4674,24.204599999999996,9.373,2.5360000000000014,11.646199999999995,-0.2628000000000057
network,29,False,,11.7784,24.251799999999996,25.4544,23.347,12.473399999999996,1.2026000000000039,11.568600000000002,-2.1073999999999984
network,30,False,,12.5112,23.4526,22.731199999999998,24.4612,10.9414,-0.7214000000000027,11.950000000000001,1.730000000000004
